subject,gamma2,gamma,alpha,tau,w_prim,w_bound1,w_bound2,log_like,k,n
100,0.9,1.0,0.9937464652072191,0.017180509617839342,0.0004595549211127664,0.003472161695751611,1.0,-23.860785705086105,6,42
101,0.9,0.9915212724086451,0.6766139927811322,0.8077846498661942,0.9281360631121521,0.7036545439536696,0.0,-24.935172113239148,6,42
102,0.9,0.0,0.017044212995754777,0.06331187146529335,0.9998061983152575,0.0,0.0,-20.45254892518275,6,42
103,0.9,0.01481352459057872,0.9873590262255211,0.0021187966998255092,0.821801113631688,0.008752806488366016,0.8410434956854081,-22.399082468808814,6,42
104,0.9,0.0,1.0,0.03922080423974827,0.7357739653088647,0.027185842266078418,0.24811399629007141,-26.16969385297936,6,42
105,0.9,0.9569868596774467,0.10877838716543657,0.0008969681476864948,0.0019118679230549728,0.6514199990296698,0.9144689877128316,-18.095630361400335,6,42
106,0.9,0.6441701237853714,0.17611370065980986,0.0003418960471186585,0.0023408841286496718,0.0,0.9176657597850423,-21.097570935301775,6,42
107,0.9,0.035272630268885635,0.5624737741652894,0.02413087268764703,0.0,0.5393011543536358,0.9950790595120067,-25.675648151660088,6,42
108,0.9,1.0,0.9061255993362388,3.3600903170716547,0.9636348350533321,0.0,0.0,-27.546926932850997,6,42
109,0.9,0.861402220819754,0.035071664118721396,0.08906608850562563,0.5716216576465354,0.9530213089518571,0.12546426485247464,-20.105130129262193,6,42
110,0.9,1.0,0.9204635408497117,0.9015703059265197,0.9999983180085346,0.10450277536926576,0.5690600208261075,-23.64783004679544,6,42
111,0.9,1.0,0.9920679588805494,0.460695171872581,0.009807650704704568,0.3390789979978825,1.0,-22.678922530397674,6,42
112,0.9,0.1156397635379241,1.0,0.006432579209453444,0.004245573494726054,0.4796502734857911,0.6807128683644927,-27.170020107864428,6,42
113,0.9,0.9970626783728128,0.4469048561679364,0.21952392725508002,0.7097256105542924,0.0,0.04180675344700762,-23.555402009104295,6,42
114,0.9,0.9222215707636383,0.7540979630294693,3.1097613729037508,1.0,0.0,0.0,-29.0327712014067,6,42
115,0.9,0.9335119881955879,0.9967031557195344,0.9549852123422132,0.9647855707432454,0.0,0.0,-26.26822526748991,6,42
116,0.9,0.004229050817196242,0.8730989716528326,0.016600726539808736,0.8681060202210618,0.0050579233716259156,0.0,-24.774490611647735,6,42
117,0.9,0.02754381641086964,0.1358305584145133,0.007364858295799889,0.0,0.026735635454499068,0.995275863280121,-27.50815527234003,6,42
119,0.9,1.0,0.008416158822972053,0.006385888795064556,0.05352995951233576,0.14312521787773896,0.950854901944523,-21.513889126525665,6,42
120,0.9,1.0,0.22720307689240668,0.5939619974314229,0.9947618714029886,0.0,0.1523576365902912,-26.859463729444638,6,42
121,0.9,0.9778416570873354,0.0066240125685114015,0.00031183375197165695,0.0021498576440137766,0.0,1.0,-23.13725923709688,6,42
122,0.9,0.06608573989630397,0.7421355469334614,5.049953647091063e-05,0.0011291873791080972,0.00011679093958556106,0.9609111327949819,-18.857473943966763,6,42
123,0.9,0.9197793152437806,1.0,1.3699227768893592,0.34885412190467757,0.9999998069182064,0.0,-28.716519905901357,6,42
124,0.9,1.0,0.0878189733061869,0.39427783695736845,1.0,0.0,0.0,-25.23238250903312,6,42
125,0.9,0.9820385714112245,0.676482477520605,0.1934569716270328,0.17699543648745925,0.0,1.0,-25.901193138667804,6,42
126,0.9,0.6364831842931107,0.44193905348178075,0.5300710081562572,0.0,1.0,0.0,-28.796190112088055,6,42
127,0.9,1.0,0.14075763120434753,0.3635519586009438,0.3390484875473939,0.27121124946596664,0.9999779650840983,-26.981103985276608,6,42
128,0.9,0.0,0.07695758317029834,0.3358613167099648,0.8291316437739049,0.0,0.9162394033048349,-28.60669609417386,6,42
129,0.9,0.0,1.0,0.02987593847283393,0.0,1.0,0.02067428246432798,-27.72588722239781,6,42
130,0.9,0.9773573431105539,0.016846827405489404,0.014347886563618566,0.1222243640020533,0.0,0.9909985018325689,-17.927806122999833,6,42
131,0.9,0.8797391818785114,0.06911646619144034,0.050056240284480975,0.06220397001177903,1.0,0.20890016142172008,-26.216194126228544,6,42
132,0.9,0.42485363198334053,0.11757290402647272,0.04425244323351443,0.36913888235885056,0.0,0.8632608640493791,-24.992379868749286,6,42
133,0.9,1.0,0.023974974955168142,0.0543984184441813,0.16700257762410486,1.0,0.3796211457458734,-24.586510292675428,6,42
135,0.9,0.7248216783196182,0.15800470302797792,0.01733849616172556,0.18838550313034963,0.8796855818926157,0.18822903822766068,-17.645837282396897,6,42
136,0.9,0.47859307164503234,0.43359758399424203,0.039544568559114285,0.0,0.04246573431107374,0.9624208963500661,-27.99393633981886,6,42
137,0.9,0.9762716623456658,0.9998507939851793,0.4142101254260169,0.14832038713103773,0.2743196283319857,0.1752345154355442,-28.087114578598403,6,42
138,0.9,0.9984861268635574,0.9769496059729624,4.89987044953803,1.0,0.0,0.0,-27.220649793286448,6,42
