subject,gamma,gamma2,alpha,tau,w,log_like,k,n
100,1.0,0.19419839078721723,1.0,7.736007426891811,0.3986541409736528,-27.87991195362548,5,42
101,0.9925889180634955,0.9568430053532583,0.7261580899919128,0.5928494680694455,0.5309867110223339,-25.32431619675208,5,42
102,0.9184530815081654,0.3409834173683792,0.013440981874818883,0.07753359780970541,0.7535035307688428,-21.002745998121693,5,42
103,0.0,0.34229650882634965,0.9984605122304032,0.001309544185970993,0.9305939159532342,-24.430906466928004,5,42
104,0.0,0.8934587607339397,1.0,0.22258232424608373,0.3988139854187557,-27.130965547616924,5,42
105,1.0,0.7317851029263971,0.1335676182392435,0.28570335328511437,0.7422227697276256,-23.354277409306565,5,42
106,0.8295763648220577,0.6655048358199378,0.3335534576682082,0.12980141376950272,0.5937948893206353,-25.427030676237642,5,42
107,0.14454046291740136,0.6715282184795711,0.14797897270179738,0.48404188560839995,0.9538123827687187,-28.682268061291012,5,42
108,0.9897426256083689,0.7664269605629612,0.5928983428417479,1.8783296845771347,0.65161596209671,-28.59090295852314,5,42
109,0.6560513856077422,0.4182348362094225,0.0321321210701573,0.11216772159915268,0.9633431972589264,-20.332573302915627,5,42
110,1.0,0.3428646641427276,0.9285073665353323,1.4524782646774526,1.0,-24.718617188714372,5,42
111,1.0,0.9100667756265162,0.03873095048523049,0.5660390452703749,0.7712887497102908,-27.926191033191238,5,42
112,0.0,0.6706876060601977,1.0,0.503141482201599,0.6975022425814703,-28.14845779840889,5,42
113,1.0,0.3264494670958031,0.21389422114476028,0.3411634888320375,0.9323604440274953,-25.319775781824653,5,42
114,0.7306976717108927,0.6247399988035294,0.8429913602525947,8.488698208553785,0.0,-29.11218158351767,5,42
115,0.9159133955656826,0.7931400517115661,1.0,0.9650680555684381,0.4430115652134726,-28.261140826386345,5,42
116,0.003605239132242745,0.7862896960085861,0.4557888939154022,0.06889372581621148,0.33382885251775135,-25.804583862338326,5,42
117,0.0,0.9729086139595458,1.0,2.466432612547168,1.0,-29.011504016034696,5,42
119,1.0,0.6389877210903623,0.12338556476236334,0.2892660097267064,0.8406018265415438,-23.22614096110472,5,42
120,1.0,0.06041707175565991,0.6179728681361086,1.064866456428064,0.532197326365406,-27.66055226975752,5,42
121,0.6999449941659446,0.8508964372353754,0.03782712358183679,0.1629329248180792,0.5730823269762404,-26.68674511666949,5,42
122,0.2523308406558656,0.2186077667499775,0.8219648921355136,0.07087351010718647,0.5277505243595432,-23.708780162224084,5,42
123,0.8857415559489789,0.0037302702548542843,1.0,3.006111964464982,1.0,-28.7837756976298,5,42
124,0.05212728664030167,0.2921863076541167,0.0009240754337036382,0.012392436130177983,0.9672480099160512,-25.254077071397482,5,42
125,1.0,0.08186994781102702,0.5409167521145387,0.17796439710631268,0.07324866939568721,-27.98162149426826,5,42
126,0.9272758241906607,0.8936019680819918,1.0,2.6744016423647956,0.6113085964279416,-28.777298012941877,5,42
127,1.0,0.8148102668493518,0.18595864962695463,0.7335133518595164,0.6826080224193605,-27.19949504270751,5,42
128,1.0,0.6202802926156148,0.8456185001975696,1.659204526590969,0.43606534875368463,-28.63791624953162,5,42
129,0.0,0.4638916207163506,0.9999989680321135,0.3874760049168422,0.4256834269594046,-28.588933439773086,5,42
130,1.0,0.6591200877690349,0.020323514921320795,0.048402848600627116,0.2813225971069387,-21.724389881592206,5,42
131,0.6651811804572108,0.7060017108161083,0.07852390485344536,0.2718183016258991,0.723708150288631,-27.644988329281688,5,42
132,0.007463087241622293,0.22731563465014526,0.07650322613923041,0.09699723118334928,0.9999988150137672,-25.607049339759012,5,42
133,1.0,0.8908994357848272,0.13750170626601738,0.44849611128870265,0.9823387125704148,-25.065973409727807,5,42
135,0.6808899527745701,0.2989425482514913,0.15951343440572777,0.06692215551715627,0.782250252324646,-18.165871659739494,5,42
136,1.0,0.48989479276961273,0.5867904408731521,7.416197645864568,0.9423242827609762,-29.065766807576413,5,42
137,0.0,0.5815643831313514,0.39509375493963667,0.3183165710603461,0.6870447939437985,-28.273786467686467,5,42
138,0.7625155306864392,0.593118976525846,1.0,1.137035887793126,0.6153036148758804,-28.53478179018964,5,42
