subject,gamma,alpha,tau,w,log_like,k,n
100,0.1464583447436945,0.0,9.572237234306165,1.0,-29.11218158351767,4,42
101,0.9928950725165481,0.7244122511386445,1.0783434431134544,0.9424709015952907,-25.312826306333033,4,42
102,0.6206867081112857,0.10556922562675428,0.62134046269977,0.0,-18.923570772982846,4,42
103,0.0,0.9986351425557862,0.0014069887629192498,0.9998214687049531,-24.3683121529062,4,42
104,0.0,1.0,0.5581105659016182,1.0,-27.13096554761694,4,42
105,1.0,0.1729077038261098,0.4591153923219595,0.7805868109328051,-23.125939373890613,4,42
106,0.4727361727149629,1.0,0.330948063830994,0.6800176471475463,-23.247504272704475,4,42
107,0.9540395714619807,1.0,1.6417913382153673,0.5808847086875477,-27.73737140008177,4,42
108,1.0,0.6247708800529367,3.2837220067741724,0.6309695843558771,-28.559074258998216,4,42
109,0.0,0.03732635156494697,0.13168546940785222,0.8655023514699623,-19.637298184894004,4,42
110,1.0,0.9285067150591247,1.452474424436665,1.0,-24.71861718838868,4,42
111,0.7546366834832714,0.49604369211152854,2.0596904142218033,0.0,-27.910194423527095,4,42
112,0.9981569995449463,0.6105205629100915,4.67551577960056,0.6605099789514425,-28.5343679025146,4,42
113,1.0,0.3687376620822311,0.5215007924410121,0.7316749283745773,-24.943332107685222,4,42
114,0.7326289989310513,0.0,7.664387070972661,0.9999834013372758,-29.112181583542327,4,42
115,0.0,0.7683129074387196,0.7966975037525078,1.0,-28.334008395125608,4,42
116,0.0,0.46329753134481105,0.21046701896128264,0.986574784572706,-25.788421835244893,4,42
117,0.0,1.0,2.4663163396527503,1.0,-29.011504015766917,4,42
119,1.0,0.5602418323623132,0.5722648632744253,0.4829648192533766,-22.910330174172913,4,42
120,1.0,0.9790133968879657,4.356716800810156,0.8807738254514831,-27.062232820206088,4,42
121,0.9905092921289759,0.0,1.089575675225794,0.0016320917341702227,-25.127322720580906,4,42
122,0.7957332627718059,1.0,0.35077153803547423,0.6286990909362817,-20.644391918654634,4,42
123,0.8842441923141994,1.0,2.339556604911907,0.6765925169418394,-28.691077387682494,4,42
124,0.2520275745245166,0.02814740347605965,0.6308460584383555,0.7733512035541161,-28.224468690848028,4,42
125,1.0,0.5409165462164398,2.4295898120471833,1.0,-27.981621494268833,4,42
126,0.9272782965237668,1.0,4.374958125887456,1.0,-28.777298013459255,4,42
127,1.0,0.8121391772326809,1.1578460053530284,0.2640865023654939,-26.043885682615382,4,42
128,1.0,0.8456201644104332,3.8050001010326273,1.0,-28.637916249529802,4,42
129,0.0,1.0,0.9102391499834117,1.0,-28.588933439753127,4,42
130,1.0,0.020356900217468672,0.380588767633505,0.5662335040987917,-20.321349742289325,4,42
131,0.9079224904309783,1.0,0.7818208775224349,0.45009862668534134,-25.34651757831401,4,42
132,0.0,0.07633998198687715,0.09737798210793441,1.0,-25.606483419296573,4,42
133,1.0,0.3456484433899851,0.5908637445012447,0.5229310354762078,-23.693078569910554,4,42
135,0.3006001083881216,0.2965729730723274,0.1022573648341685,0.8647248821824629,-16.216796769946058,4,42
136,0.8876411613780547,0.0,3.719023903493034,1.0,-29.11218158351767,4,42
137,0.0,0.39509290467040836,0.46331161619262445,1.0,-28.273786467682143,4,42
138,0.7625155528706594,1.0,1.847930210537832,1.0,-28.534781790191445,4,42
