subject,gamma,alpha,tau,w_prim,w_bound1,w_bound2,log_like,k,n
100,1.0,0.9937399257908155,0.017176772576355,0.00046129626524389644,0.0034742608570351285,1.0,-23.860782043064805,6,42
101,0.9915213545875022,0.6766132875637502,0.70848756685044,0.8140386010266425,0.6171411281057407,0.0,-24.93517211299399,6,42
102,0.0,0.017044176144227506,0.0633241185425296,1.0,0.0,0.0,-20.452548925183745,6,42
103,0.012674207667875581,0.9900812614686939,0.002125063393776827,0.9281032736834557,0.008015697736067418,0.6125017655004249,-22.394058141398485,6,42
104,0.0,0.9960875956293257,0.09236093113972872,1.0,0.06436737775424793,0.0,-26.16932433986145,6,42
105,0.9630025184231915,0.09470140177796388,0.0011033088464076357,0.002220340164831802,0.47738611700043715,0.7985008201815332,-18.10210794286104,6,42
106,0.637960337597271,0.16443871555844208,0.00029099446149845164,0.00198931482349352,0.0,0.9126653022654303,-21.1009867350546,6,42
107,0.9810314869489865,0.05863101521435432,0.400455224616203,0.08741506413824207,0.21058745160304582,0.9627556855313093,-27.80270927164535,6,42
108,0.27305958005781106,0.9104656404249278,0.3488402971417246,0.51838485404899,0.051410155581095185,0.7746454494879299,-27.975171142073947,6,42
109,0.8613838347870072,0.03507232395304915,0.08191415154441543,0.5257513372884931,0.8765622929222295,0.11539946154184484,-20.105130120645423,6,42
110,1.0,0.9204635168514084,0.7949116520339475,0.8816932427022299,0.09213982946774223,0.501736866827585,-23.647830046698054,6,42
111,1.0,0.015114433674404414,0.20948729154801915,0.4869858570509679,0.919821169655469,0.9421693752031585,-27.84540834095463,6,42
112,1.0,0.5771056104367583,1.5050013394042956,0.29809101830638357,0.9999999913153117,0.0,-27.14099867477428,6,42
113,0.9970629373856064,0.44689381144995455,0.2557297588557846,0.8267609789949365,0.0,0.04872049889540182,-23.55540201432382,6,42
114,0.9918456658491867,0.00285184161670694,0.0004329891243953332,0.0,0.0,0.9999998392409079,-26.459933017948583,6,42
115,0.9335123794549295,0.9967022264191185,0.9898432633099774,1.0,0.0,0.0,-26.268225267583787,6,42
116,0.004218412098202057,0.873177714762399,0.01722467955233485,0.9013356496000705,0.005235476322657452,0.0,-24.774490515094655,6,42
117,0.02755144350702515,0.13581452622685106,0.00740038005439325,0.0,0.026866119218164636,0.999908568216485,-27.508155268808544,6,42
119,1.0,0.008417492954554072,0.005867851294277875,0.04918209697925937,0.13148902750703298,0.8736630471486974,-21.513889110598342,6,42
120,1.0,0.22720074267769835,0.5970883666688795,1.0,0.0,0.15319589536583791,-26.859463730001554,6,42
121,0.5651601294183465,0.03750602493019714,0.0001719163230146939,0.0006469389519748127,0.0,0.8680269137702132,-22.996345131707013,6,42
122,0.10026845047453603,0.6770873129842376,0.0003287185146723104,0.0048268160383654335,0.0007878200983457151,0.924112101885126,-19.09041453370483,6,42
123,0.7283289712981328,0.9082096507714997,0.22785988699462686,0.13302251343962004,0.0,1.0,-28.652325398881114,6,42
124,0.08132674762645564,0.0002517503927449427,0.0027451941916680767,0.6673201122695388,0.7293148731886401,0.14161552775087782,-25.21159312772133,6,42
125,0.9820382751354924,0.6764821569973785,0.19340353538907917,0.1769482693004702,0.0,0.9997364227482048,-25.901193138712948,6,42
126,0.8991355845742048,1.0,1.3912635489361485,0.4657778925026558,0.45214521826959453,0.0,-28.722134277654494,6,42
127,1.0,0.1407645336708231,0.23174984674095397,0.21612824959831983,0.17289403769919995,0.6374421427881528,-26.98110398754352,6,42
128,1.0,0.9042354459744304,0.388802082525517,0.04036776738572078,0.9992729754530884,0.14140159482999562,-27.38733925235978,6,42
129,0.0,1.0,0.055272059651421984,0.0,1.0,0.006682426420129898,-27.725887250171493,6,42
130,0.9695156360522279,0.01709143033202826,0.014218086989747648,0.12050360878195653,0.0,0.980395246336003,-17.927744356096248,6,42
131,0.7670561582253334,1.0,0.12745348375692514,0.052344714066725535,0.06497111041297039,0.9999998070425454,-26.747353925817166,6,42
132,0.4926541300432995,0.12177553414935947,0.05820634337427124,0.44255590781347826,0.0,0.8114431771106255,-25.011618387415226,6,42
133,1.0,0.02397322060390876,0.05299570401377465,0.1627103066615744,0.9742498699990582,0.3698800622319859,-24.586510296755986,6,42
135,0.8660000358914387,0.18388819265701212,0.0005573899324582514,0.004471534886253614,0.7445449731639122,0.0035775552585544483,-15.63331932182115,6,42
136,1.0,0.4366926574693253,0.8844885948288975,0.16493144423863065,0.0,1.0,-28.67213867461786,6,42
137,0.0,0.34217657209444896,0.3039826466726748,1.0,0.605690356313561,0.0,-27.84063230190947,6,42
138,0.9984867828006412,0.9769484656055599,4.899944935903412,0.999999902697201,0.0,0.0,-27.22064979167301,6,42
