gamma2,gamma,alpha,tau,w,log_like
0.5,1.0,1.0,10.0,0.5256024952147647,-27.9412100175223
0.5,0.9949398623380421,0.7516143474536676,0.872408126165612,0.5980319550453115,-25.30162911934673
0.5,0.9159973312335249,0.013471342069977191,0.10291602661288655,1.0,-21.002740784709353
0.5,0.0,0.998451492942026,0.0014067819203577013,1.0,-24.43090179185987
0.5,0.0,1.0,0.5581106557264958,1.0,-27.130965547616924
0.5,1.0,0.13356765290121295,0.384929392857975,1.0,-23.354277409306828
0.5,0.7577555680784082,0.050539093163458185,0.5513219482164364,1.0,-55.84253961771864
0.5,1.0,0.6826280615140938,2.200127770139371,0.37104141633122256,-28.575448267689218
0.5,0.656050572613076,0.032132137857600794,0.11643563656373826,1.0,-20.33257330292396
0.5,1.0,0.9285067971192533,1.4524756422903367,1.0,-24.718617188391875
0.5,1.0,0.03873050029624366,0.7338816509320406,1.0,-27.9261910331886
0.5,0.0,1.0,0.721347773741277,1.0,-28.14845779840898
0.5,1.0,0.21389506865261146,0.36591469066591825,1.0,-25.3197757818803
0.5,0.8537336120077261,0.0,9.384413911822977,0.6809698142052615,-29.11218158351767
0.5,0.0,0.7683176266913124,0.7966985831639325,1.0,-28.334008395057303
0.5,0.0037976760861246884,0.4558062323768732,0.2063838136611593,1.0,-25.80458377143778
0.5,0.0,1.0,2.466302915050058,1.0,-29.011504015764235
0.5,1.0,0.12540952159037688,0.3094565635131524,0.8514026825448617,-23.22346442853765
0.5,1.0,0.9877577286643787,0.7212150167879521,0.1295454429295315,-26.41427584511066
0.5,0.6999586491586417,0.0378287970688572,0.28431822983085714,1.0,-26.686745117669357
0.5,0.2416209187355381,0.8255819154935137,0.13383533979216303,0.9650162906329154,-23.708687567007626
0.5,0.8860167448755387,1.0,3.0270753713216347,1.0,-28.783788599514555
0.5,0.6612667047490134,1.3538158601322665e-07,2.1845649772273946e-06,0.5062617801500077,-25.212367048781505
0.5,1.0,0.5409127811191166,2.4295714214969517,1.0,-27.98162149433603
0.5,0.9272760192561247,1.0,4.374912975457703,1.0,-28.777298012960216
0.5,1.0,0.18595845770350175,1.0745659371267011,1.0,-27.199495042827575
0.5,0.0,0.057748634613166955,0.4548147706713015,1.0,-28.708976019454294
0.5,0.0,1.0,0.9102391652262559,1.0,-28.588933439753127
0.5,1.0,0.02032355887332373,0.17205498273944558,1.0,-21.724389881583765
0.5,0.6651578669133039,0.07852022482488921,0.3755941180299248,1.0,-27.64498833274732
0.5,0.0,0.07634002502301403,0.0973779631384877,1.0,-25.606483419296246
0.5,1.0,0.1375016213534617,0.4565596477471,1.0,-25.065973409726762
0.5,0.6808891731761215,0.15951353539573118,0.08555072083147687,1.0,-18.165871659733845
0.5,1.0,0.5934878535130536,9.074729057296873,1.0,-29.066531724456578
0.5,0.0,0.3950970544727152,0.4632916234376914,1.0,-28.273786469362566
0.5,0.0,0.3928152647916598,0.8615873647364817,1.0,-28.759764732350202
