subject,gamma,alpha,w,tau,log_like,k,n
100,0.0,0.0,0,10.0,-29.564659723089974,1,42
101,0.0,0.0,0,5.233938452302363,-28.92141639752456,1,42
102,0.0,0.0,0,0.6213349161158466,-18.9235707723848,1,42
103,0.0,0.0,0,2.5929409371896788,-28.345601497240786,1,42
104,0.0,0.0,0,10.0,-29.164659723089983,1,42
105,0.0,0.0,0,0.9651649791938609,-24.15167262808039,1,42
106,0.0,0.0,0,1.0913573797940253,-25.127322720582335,1,42
107,0.0,0.0,0,3.4760441629458922,-28.682140397428114,1,42
108,0.0,0.0,0,5.237197796339386,-28.921416464306795,1,42
109,0.0,0.0,0,0.6911236909206938,-20.450333797513295,1,42
110,0.0,0.0,0,10.0,-29.364659723089975,1,42
111,0.0,0.0,0,2.0596980331137895,-27.910194423506763,1,42
112,0.0,0.0,0,10.0,-29.06465972308998,1,42
113,0.0,0.0,0,1.2463440430750228,-25.986203251293926,1,42
114,0.0,0.0,0,10.0,-29.164659723089972,1,42
115,0.0,0.0,0,10.0,-29.56465972308998,1,42
116,0.0,0.0,0,3.476050916098019,-28.682140397422383,1,42
117,0.0,0.0,0,10.0,-29.464659723089984,1,42
119,0.0,0.0,0,0.9651658018397299,-24.151672628080956,1,42
120,0.0,0.0,0,10.0,-29.16465972308998,1,42
121,0.0,0.0,0,1.0913572059347922,-25.127322720581667,1,42
122,0.0,0.0,0,0.8597337270505307,-23.052724148369776,1,42
123,0.0,0.0,0,5.234050454048092,-28.92141639737865,1,42
124,0.0,0.0,0,3.476002877320716,-28.682140397532752,1,42
125,0.0,0.0,0,10.0,-29.56465972308998,1,42
126,0.0,0.0,0,10.0,-29.264659723089984,1,42
127,0.0,0.0,0,1.7012977466757888,-27.373775569251446,1,42
128,0.0,0.0,0,10.0,-29.164659723089983,1,42
129,0.0,0.0,0,10.0,-29.46465972308998,1,42
130,0.0,0.0,0,0.6911236523635128,-20.45033379751332,1,42
131,0.0,0.0,0,1.442692651272119,-26.733595068388272,1,42
132,0.0,0.0,0,1.7012963655630857,-27.373775569252203,1,42
133,0.0,0.0,0,1.0913563863929465,-25.127322720581024,1,42
135,0.0,0.0,0,0.6213348831385661,-18.92357077238484,1,42
136,0.0,0.0,0,10.0,-29.16465972308999,1,42
137,0.0,0.0,0,10.0,-29.06465972308998,1,42
138,0.0,0.0,0,10.0,-29.16465972308998,1,42
