subject,w,gamma,alpha,tau,log_like
100,1,1.0,0.9880050184330433,10.0,-28.30719742315338
101,1,0.9927800397290707,0.7294721659661543,1.1395273191421824,-25.324555269387513
102,1,0.9160049311973428,0.013471199581361655,0.10291556972735053,-21.002740784648353
103,1,0.0028152516580791653,0.9313942075792575,0.0635410021185061,-24.471582509423513
104,1,0.0,1.0,0.5581105954500483,-27.130965547616928
105,1,1.0,0.13356762030396602,0.38492946828060937,-23.354277409306896
106,1,0.8295765562082609,0.33355361549555057,0.2185969798530116,-25.42703067622126
107,1,0.959744767702443,1.0,2.8654152457960396,-28.04507893941044
108,1,0.9897431322425567,0.5929157798147462,2.8826671600608162,-28.590902957960147
109,1,0.6560478777046574,0.0321320357277164,0.1164353868029719,-20.33257330294677
110,1,1.0,0.928506681463973,1.452474960923494,-24.7186171883862
111,1,1.0,0.038731026856679125,0.7338784100383559,-27.92619103338196
112,1,0.0,1.0,0.7213470918924527,-28.148457798409158
113,1,1.0,0.2138950772404015,0.36590802418251644,-25.319775782617736
114,1,0.5520922253414939,0.0,7.765978705562163,-29.11218158351767
115,1,0.0,0.7683184297593049,0.7966991132445702,-28.334008395057392
116,1,0.0037982041309589537,0.4558062039663461,0.2063838351392008,-25.804583771437763
117,1,0.0,1.0,2.4662882032998046,-29.011504015768008
119,1,1.0,0.1233855458292869,0.3441176746716983,-23.22614096110386
120,1,1.0,0.978790765373114,4.919374701748326,-27.065747249982856
121,1,0.7007064610728742,0.037830268913477696,0.2846192879383298,-26.686746033689488
122,1,0.25232978412058293,0.8219665653972693,0.13429282725516034,-23.70878016226097
123,1,0.885739334076075,1.0,3.0060370447177758,-28.78377569768406
124,1,0.05856143552329396,0.0017876315818604605,0.025709613488338334,-25.27656774119082
125,1,1.0,0.5409191782702947,2.42959629471504,-27.981621494295354
126,1,0.9272732019613938,1.0,4.3746708436409065,-28.777298013787497
127,1,1.0,0.18595897001835537,1.0745765902179603,-27.199495042710495
128,1,0.0,0.057748911984115074,0.45481243182809206,-28.708976019466554
129,1,0.0,1.0,0.9102391912475277,-28.588933439753127
130,1,1.0,0.020323777079403346,0.17205651622851847,-21.72438988161598
131,1,0.6651813557329422,0.07852421078786065,0.3755889087026846,-27.64498832932871
132,1,0.0,0.07634008566114366,0.09737784863195827,-25.606483419301156
133,1,1.0,0.13750204810508404,0.4565610333300661,-25.065973409765007
135,1,0.6808921964390716,0.15951335895353397,0.08555102600082333,-18.16587165982862
136,1,0.5737565291597001,0.0,4.770978884950277,-29.11218158351767
137,1,0.0,0.3950921741774382,0.4633114429849337,-28.273786467684168
138,1,0.7625135322883846,1.0,1.8479140455694372,-28.534781790244498
